Date,Text,Tokens
07/2023,Fore dihati,"['fore', 'dihati']"
07/2023,"Biasa pesen latte no sugar, menu terenak di fore menurutku itu double shaken latte!","['biasa', 'pesen', 'latte', 'sugar', 'menu', 'terenak', 'di', 'fore', 'menurutku', 'itu', 'double', 'shake', 'latte']"
07/2023,Aku tim point coffee,"['aku', 'tim', 'point', 'coffee']"
07/2023,"Masih banyak sih, tapi rata-rata fore","['masih', 'banyak', 'sih', 'tapi', 'rata', 'rata', 'fore']"
07/2023,yg terakhir dalgona berkedok fore,"['yg', 'terakhir', 'dalgona', 'berkedok', 'fore']"
07/2023,Coffee fav Ice blackcoffee - kopi kenangan (enak&murah) Hot Cappucino - Sushi Tei Cafe (enak banget),"['coffee', 'fav', 'ice', 'blackcoffee', 'kopi', 'kenangan', 'hot', 'cappucino', 'sushi', 'tei', 'cafe', 'enak', 'banget']"
07/2023,"Setuju Aku abis nyoba point coffee, malemnya ga bisa tidur. Alhasil melek sampe pagi","['setuju', 'aku', 'abis', 'nyoba', 'point', 'coffee', 'malemnya', 'ga', 'bisa', 'tidur', 'alhasil', 'melek', 'sampe', 'pagi']"
07/2023,"Aku sukaaa 8/10 lah, dan sekarang pengen nyempetin coba matchanya fore","['aku', 'sukaaa', 'lah', 'dan', 'sekarang', 'pengen', 'nyempetin', 'coba', 'matchanya', 'fore']"
07/2023,"Imo, sangat amat b aja untuk harga segitu apa mungkin gue salah mesen menu kali ya harusnya dpt yg enakan si. Tp kaum mensang mending macem ak, mendingan jajan fore kemana2 heu","['imo', 'sangat', 'amat', 'b', 'aja', 'untuk', 'harga', 'segitu', 'apa', 'mungkin', 'gue', 'salah', 'mesen', 'menu', 'kali', 'ya', 'harusnya', 'dpt', 'yg', 'enakan', 'si', 'tp', 'kaum', 'mensang', 'mending', 'macem', 'ak', 'mendingan', 'jajan', 'fore', 'heu']"
07/2023,Same heree Point coffee ternyata enakk,"['heree', 'point', 'coffee', 'ternyata', 'enakk']"
07/2023,ini point coffee yg rasa apa nder?,"['ini', 'point', 'coffee', 'yg', 'rasa', 'apa', 'nder']"
07/2023,Sama point coffee jugaa tapi ini kopi saku wkwk,"['sama', 'point', 'coffee', 'jugaa', 'tapi', 'ini', 'kopi', 'saku', 'wkwk']"
07/2023,Enak banget caramel machiato nya point coffee,"['enak', 'banget', 'caramel', 'machiato', 'nya', 'point', 'coffee']"
07/2023,Buset 27 rebu mending point coffee langsung nder lebih enak :'),"['buset', 'rebu', 'mend', 'point', 'coffee', 'langsung', 'nder', 'lebih', 'enak']"
07/2023,"abis gofood fore. finally ga classic latte lagi wkwk masa tiap beli kopi di fore classic latte mulu, keluar dr zona nyaman nyobain buterscotch sea salt latte kiww ternyata enakkk.","['abis', 'gofood', 'fore', 'finally', 'ga', 'classic', 'latte', 'lagi', 'wkwk', 'masa', 'tiap', 'beli', 'kopi', 'di', 'fore', 'classic', 'latte', 'mulu', 'keluar', 'dr', 'zona', 'nyaman', 'nyobain', 'buterscotch', 'sea', 'salt', 'latte', 'kiww', 'ternyata', 'enakkk']"
07/2023,"gue juga lagi. baper sama mas² tomoro coffe. saking seringnya nugas disana, sampe dikenal padahal saat itu gue lagi gk pake kerudung krn take away","['gue', 'juga', 'lagi', 'baper', 'sama', 'tomoro', 'coffe', 'sake', 'seringnya', 'nugas', 'disana', 'sampe', 'dikenal', 'padahal', 'saat', 'itu', 'gue', 'lagi', 'gk', 'pake', 'kerudung', 'krn', 'away']"
07/2023,Pandan latte sih kalau fore mah,"['pandan', 'latte', 'sih', 'kalau', 'fore', 'mah']"
07/2023,gak akan bosen menyarankan butterscotch sea salt latte nya fore juaraaakkkk,"['gak', 'akan', 'bosen', 'menyarankan', 'butterscotch', 'sea', 'salt', 'latte', 'nya', 'fore', 'juaraaakkkk']"
07/2023,"Pandan latte Butterscotch sea salt latte Aren latte Gw ga terlalu suka kopi, tapi kalo 3 menu fore ini sih naisss","['pandan', 'latte', 'butterscotch', 'sea', 'salt', 'latte', 'aren', 'latte', 'gw', 'ga', 'terlalu', 'suka', 'kopi', 'tapi', 'kalo', 'menu', 'fore', 'ini', 'sih', 'naisss']"
07/2023,Kenapa fore sangattt lama penyajiannya,"['kenapa', 'fore', 'sangattt', 'lama', 'penyajiannya']"
07/2023,fore semua enakk,"['fore', 'semua', 'enakk']"
07/2023,kapan ya fore ada di mdn :),"['kapan', 'ya', 'fore', 'ada', 'di', 'mdn']"
07/2023,"Aku gatau sih nder cmn americano yg cocok di aku ada di fore menunya tu manuka americano dia menurut aku sih sangat ringan dan aga manis karna pake honey sedikit jd ga strong bgt kaya americano biasanya, pernah jg coba americano sbucks tp terlalu strong bagi aku yg lemah wkwk","['aku', 'gatau', 'sih', 'nder', 'cmn', 'americano', 'yg', 'cocok', 'di', 'aku', 'ada', 'di', 'fore', 'menunya', 'tu', 'manuka', 'americano', 'dia', 'menurut', 'aku', 'sih', 'sangat', 'ringan', 'dan', 'aga', 'manis', 'karna', 'pake', 'honey', 'sedikit', 'jd', 'ga', 'strong', 'bgt', 'kaya', 'americano', 'biasanya', 'pernah', 'jg', 'coba', 'americano', 'sbuck', 'tp', 'terlalu', 'strong', 'bagi', 'aku', 'yg', 'lemah', 'wkwk']"
07/2023,"Sama aja, doiku bukan yang tiap hari minum americano disana tapi pas di indo nyobain americano fore juga rasanya sama. Di sbux juga sama aja rasanya","['sama', 'aja', 'doiku', 'bukan', 'yang', 'tiap', 'hari', 'minum', 'americano', 'disana', 'tapi', 'pas', 'di', 'indo', 'nyobain', 'americano', 'fore', 'juga', 'rasanya', 'sama', 'di', 'sbux', 'juga', 'sama', 'aja', 'rasanya']"
07/2023,Kopi kenangan Setuju?? Like tweet gw wkwk,"['kopi', 'kenangan', 'setuju', 'like', 'tweet', 'gw', 'wkwk']"
07/2023,Keknya terakhir beberapa bulan lalu ke fore,"['keknya', 'terakhir', 'beberapa', 'bulan', 'lalu', 'ke', 'fore']"
07/2023,"Gaji 2 juta, tapi bisa minum starbucks, coffee bean, djournal, kopi kenangan dan kalau makan, bisa makanan jepang dan korea itu gratis jadi gaji gak pernah kesentuh buat makan dan minum.","['gaji', 'juta', 'tapi', 'bisa', 'minum', 'starbucks', 'coffee', 'bean', 'djournal', 'kopi', 'kenangan', 'dan', 'kalau', 'makan', 'bisa', 'makanan', 'jepang', 'dan', 'korea', 'itu', 'gratis', 'jadi', 'gaji', 'gak', 'pernah', 'kesentuh', 'buat', 'makan', 'dan', 'minum']"
07/2023,Aku senengnya point coffee aja enak nder mana murah lg,"['aku', 'senengnya', 'point', 'coffee', 'aja', 'enak', 'nder', 'mana', 'murah', 'lg']"
07/2023,"Gatau, gua juga heran punya temen tiap hari minum point kopi dan kopi kenangan. Beneran tiap malam","['gatau', 'gua', 'juga', 'heran', 'punya', 'temen', 'tiap', 'hari', 'minum', 'point', 'kopi', 'dan', 'kopi', 'kenangan', 'beneran', 'tiap', 'malam']"
07/2023,"sbux si, punya fore jg enak","['sbux', 'si', 'punya', 'fore', 'jg', 'enak']"
07/2023,"Kekopian di point coffee Indoapril selain enak, juga cukup strong.","['kekopian', 'di', 'point', 'coffee', 'indoapril', 'selain', 'enak', 'juga', 'cukup', 'strong']"
07/2023,"Sbux, point coffee menurutku kurang","['sbux', 'point', 'coffee', 'menurutku', 'kurang']"
07/2023,Point coffee mayan enak matcha nya,"['point', 'coffee', 'mayan', 'enak', 'matcha', 'nya']"
07/2023,Punyanya Tomoro enak nder,"['punyanya', 'tomoro', 'enak', 'nder']"
07/2023,Aku suka tomoro,"['aku', 'suka', 'tomoro']"
07/2023,"point coffee, kebetulan senin besok promonya yg matcha","['point', 'coffee', 'kebetulan', 'senin', 'besok', 'promonya', 'yg', 'matcha']"
07/2023,"ini yang aku tau kalo daerah jkt - kopi konnichiwa - tomoro coffee - matcha bae - feel matcha kalo beneran mau minum matcha, bukan matcha yang dominan susu","['ini', 'yang', 'aku', 'tau', 'kalo', 'daerah', 'jkt', 'kopi', 'konnichiwa', 'tomoro', 'coffee', 'matcha', 'bae', 'feel', 'matcha', 'kalo', 'beneran', 'mau', 'minum', 'matcha', 'bukan', 'matcha', 'yang', 'dominan', 'susu']"
07/2023,"Aku pengen banget ke point coffee, tapi gak lewat situ mulu","['aku', 'pengen', 'banget', 'ke', 'point', 'coffee', 'tapi', 'gak', 'lewat', 'situ', 'mulu']"
07/2023,"Hah serius promoan hari ini? Baru jg ngejar promo tomoro, jd bingung","['hah', 'serius', 'promoan', 'hari', 'ini', 'baru', 'jg', 'ngejar', 'promo', 'tomoro', 'jd', 'bingung']"
07/2023,Point coffee klo lgi pngn kopi biasanya aku campur kaya ginii,"['point', 'coffee', 'klo', 'lgi', 'pngn', 'kopi', 'biasanya', 'aku', 'campur', 'kaya', 'ginii']"
07/2023,Kalo point coffee varian frappe mending no sugar aja nder karena emang semanis itu manisnya bs didapet dr whip cream dan syrup nya.,"['kalo', 'point', 'coffee', 'varian', 'frappe', 'mend', 'sugar', 'aja', 'nder', 'karena', 'emang', 'semanis', 'itu', 'manisnya', 'bs', 'didapet', 'dr', 'whip', 'cream', 'dan', 'syrup', 'nya']"
07/2023,Info kalideres IDM Point Coffee ada ga siii?,"['info', 'kalidere', 'idm', 'point', 'coffee', 'ada', 'ga', 'siii']"
07/2023,pengennn tapi disini gada point coffee,"['pengennn', 'tapi', 'disini', 'gada', 'point', 'coffee']"
07/2023,Lu beli matcha point coffee nder skrng mumpung lg disc,"['lu', 'beli', 'matcha', 'point', 'coffee', 'nder', 'skrng', 'mumpung', 'lg', 'disc']"
07/2023,Kopi kenangan skrg jual sprite kah?,"['kopi', 'kenangan', 'skrg', 'jual', 'sprite', 'kah']"
07/2023,aku tipikal klo ke coffe shop cari yang pelayanan nya ramah sejauh ini starbucks sm fore paling best best,"['aku', 'tipikal', 'klo', 'ke', 'coffe', 'shop', 'cari', 'yang', 'pelayanan', 'nya', 'ramah', 'sejauh', 'ini', 'starbuck', 'sm', 'fore', 'pale', 'well', 'good']"
07/2023,"Sbux sama fore itu menurutku baiiiiik dan helpful bgt. Aku pertama kali ke fore dgn baju lusuh bawa barang banyak krn mau ke stasiun, tp baristanya tetep ngejelasin dgn sabar dan detil gitu. Mana ga judes samsek, malah ramah","['sbux', 'sama', 'fore', 'itu', 'menurutku', 'baiiiiik', 'dan', 'helpful', 'bgt', 'aku', 'pertama', 'kali', 'ke', 'fore', 'dgn', 'baju', 'lusuh', 'bawa', 'barang', 'banyak', 'krn', 'mau', 'ke', 'stasiun', 'tp', 'baristanya', 'tetep', 'ngejelasin', 'dgn', 'sabar', 'dan', 'detil', 'gitu', 'mana', 'ga', 'judes', 'samsek', 'malah', 'ramah']"
